50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.10819e-01 7.46119e-01
1.17388e-01 8.60259e-01
1.23502e-01 9.80743e-01
1.29139e-01 1.10710e+00
1.34277e-01 1.23885e+00
1.38894e-01 1.37548e+00
1.42975e-01 1.51646e+00
1.46502e-01 1.66125e+00
1.49463e-01 1.80928e+00
1.51845e-01 1.95998e+00
1.53640e-01 2.11277e+00
1.54840e-01 2.26706e+00
1.55442e-01 2.42225e+00
1.55442e-01 2.57775e+00
1.54840e-01 2.73294e+00
1.53640e-01 2.88723e+00
1.51845e-01 3.04002e+00
1.49463e-01 3.19072e+00
1.46502e-01 3.33875e+00
1.42975e-01 3.48354e+00
1.38894e-01 3.62452e+00
1.34277e-01 3.76115e+00
1.29139e-01 3.89290e+00
1.23502e-01 4.01926e+00
1.17388e-01 4.13974e+00
1.10819e-01 4.25388e+00
1.03821e-01 4.36124e+00
9.64219e-02 4.46139e+00
8.86496e-02 4.55396e+00
8.05343e-02 4.63857e+00
7.21075e-02 4.71492e+00
6.34017e-02 4.78270e+00
5.44506e-02 4.84164e+00
4.52889e-02 4.89153e+00
3.59521e-02 4.93216e+00
2.64764e-02 4.96339e+00
1.68995e-02 4.98508e+00
7.27156e-03 4.99717e+00
2.83399e-03 2.83399e-03 2.55848e-10
2.83399e-03 1.49201e-02 7.08377e-09
2.83399e-03 3.66148e-02 4.24238e-08
2.83399e-03 6.78390e-02 1.43289e-07
2.83399e-03 1.08473e-01 3.53668e-07
2.83399e-03 1.58358e-01 7.07009e-07
2.83399e-03 2.17304e-01 1.20134e-06
2.83399e-03 2.85080e-01 1.78054e-06
2.83399e-03 3.61426e-01 2.34140e-06
2.83399e-03 4.46045e-01 2.77198e-06
2.83399e-03 5.38610e-01 2.99848e-06
2.83399e-03 6.38764e-01 3.00831e-06
2.83399e-03 7.46119e-01 2.83938e-06
2.83399e-03 8.60259e-01 2.55229e-06
2.83399e-03 9.80743e-01 2.20610e-06
2.83399e-03 1.10710e+00 1.84642e-06
2.83399e-03 1.23885e+00 1.50346e-06
2.83399e-03 1.37548e+00 1.19470e-06
2.83399e-03 1.51646e+00 9.28476e-07
2.83399e-03 1.66125e+00 7.06596e-07
2.83399e-03 1.80928e+00 5.25992e-07
2.83399e-03 1.95998e+00 3.79941e-07
2.83399e-03 2.11277e+00 2.59813e-07
2.83399e-03 2.26706e+00 1.58144e-07
2.83399e-03 2.42225e+00 7.26887e-08
2.83399e-03 2.57775e+00 8.58144e-09
2.83399e-03 2.73294e+00 -2.59347e-08
2.83399e-03 2.88723e+00 -3.00702e-08
2.83399e-03 3.04002e+00 -1.62168e-08
2.83399e-03 3.19072e+00 -9.45130e-10
2.83399e-03 3.33875e+00 7.47253e-09
2.83399e-03 3.48354e+00 9.49716e-09
2.83399e-03 3.62452e+00 8.16409e-09
2.83399e-03 3.76115e+00 5.81712e-09
2.83399e-03 3.89290e+00 3.66518e-09
