50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.10819e-01 7.46119e-01
1.17388e-01 8.60259e-01
1.23502e-01 9.80743e-01
1.29139e-01 1.10710e+00
1.34277e-01 1.23885e+00
1.38894e-01 1.37548e+00
1.42975e-01 1.51646e+00
1.46502e-01 1.66125e+00
1.49463e-01 1.80928e+00
1.51845e-01 1.95998e+00
1.53640e-01 2.11277e+00
1.54840e-01 2.26706e+00
1.55442e-01 2.42225e+00
1.55442e-01 2.57775e+00
1.54840e-01 2.73294e+00
1.53640e-01 2.88723e+00
1.51845e-01 3.04002e+00
1.49463e-01 3.19072e+00
1.46502e-01 3.33875e+00
1.42975e-01 3.48354e+00
1.38894e-01 3.62452e+00
1.34277e-01 3.76115e+00
1.29139e-01 3.89290e+00
1.23502e-01 4.01926e+00
1.17388e-01 4.13974e+00
1.10819e-01 4.25388e+00
1.03821e-01 4.36124e+00
9.64219e-02 4.46139e+00
8.86496e-02 4.55396e+00
8.05343e-02 4.63857e+00
7.21075e-02 4.71492e+00
6.34017e-02 4.78270e+00
5.44506e-02 4.84164e+00
4.52889e-02 4.89153e+00
3.59521e-02 4.93216e+00
2.64764e-02 4.96339e+00
1.68995e-02 4.98508e+00
7.27156e-03 4.99717e+00
2.83399e-03 2.83399e-03 -1.39951e+00
2.83399e-03 1.49201e-02 -1.39914e+00
2.83399e-03 3.66148e-02 -1.39720e+00
2.83399e-03 6.78390e-02 -1.39160e+00
2.83399e-03 1.08473e-01 -1.37950e+00
2.83399e-03 1.58358e-01 -1.35778e+00
2.83399e-03 2.17304e-01 -1.32363e+00
2.83399e-03 2.85080e-01 -1.27540e+00
2.83399e-03 3.61426e-01 -1.21306e+00
2.83399e-03 4.46045e-01 -1.13826e+00
2.83399e-03 5.38610e-01 -1.05358e+00
2.83399e-03 6.38764e-01 -9.61468e-01
2.83399e-03 7.46119e-01 -8.63424e-01
2.83399e-03 8.60259e-01 -7.59532e-01
2.83399e-03 9.80743e-01 -6.48552e-01
2.83399e-03 1.10710e+00 -5.28297e-01
2.83399e-03 1.23885e+00 -3.96175e-01
2.83399e-03 1.37548e+00 -2.49889e-01
2.83399e-03 1.51646e+00 -8.83176e-02
2.83399e-03 1.66125e+00 8.73420e-02
2.83399e-03 1.80928e+00 2.72194e-01
2.83399e-03 1.95998e+00 4.56304e-01
2.83399e-03 2.11277e+00 6.24162e-01
2.83399e-03 2.26706e+00 7.56333e-01
2.83399e-03 2.42225e+00 8.34728e-01
2.83399e-03 2.57775e+00 8.50590e-01
2.83399e-03 2.73294e+00 8.09305e-01
2.83399e-03 2.88723e+00 7.25125e-01
2.83399e-03 3.04002e+00 6.11039e-01
2.83399e-03 3.19072e+00 4.78910e-01
2.83399e-03 3.33875e+00 3.46061e-01
2.83399e-03 3.48354e+00 2.30865e-01
