50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.10819e-01 7.46119e-01
1.17388e-01 8.60259e-01
1.23502e-01 9.80743e-01
1.29139e-01 1.10710e+00
1.34277e-01 1.23885e+00
1.38894e-01 1.37548e+00
1.42975e-01 1.51646e+00
1.46502e-01 1.66125e+00
1.49463e-01 1.80928e+00
1.51845e-01 1.95998e+00
1.53640e-01 2.11277e+00
1.54840e-01 2.26706e+00
1.55442e-01 2.42225e+00
1.55442e-01 2.57775e+00
1.54840e-01 2.73294e+00
1.53640e-01 2.88723e+00
1.51845e-01 3.04002e+00
1.49463e-01 3.19072e+00
1.46502e-01 3.33875e+00
1.42975e-01 3.48354e+00
1.38894e-01 3.62452e+00
1.34277e-01 3.76115e+00
1.29139e-01 3.89290e+00
1.23502e-01 4.01926e+00
1.17388e-01 4.13974e+00
1.10819e-01 4.25388e+00
1.03821e-01 4.36124e+00
9.64219e-02 4.46139e+00
8.86496e-02 4.55396e+00
8.05343e-02 4.63857e+00
7.21075e-02 4.71492e+00
6.34017e-02 4.78270e+00
5.44506e-02 4.84164e+00
4.52889e-02 4.89153e+00
3.59521e-02 4.93216e+00
2.64764e-02 4.96339e+00
1.68995e-02 4.98508e+00
7.27156e-03 4.99717e+00
2.83399e-03 2.83399e-03 3.14900e-05
2.83399e-03 1.49201e-02 8.72398e-04
2.83399e-03 3.66148e-02 5.24116e-03
2.83399e-03 6.78390e-02 1.78648e-02
2.83399e-03 1.08473e-01 4.49774e-02
2.83399e-03 1.58358e-01 9.32073e-02
2.83399e-03 2.17304e-01 1.67754e-01
2.83399e-03 2.85080e-01 2.70228e-01
2.83399e-03 3.61426e-01 3.97104e-01
2.83399e-03 4.46045e-01 5.39829e-01
2.83399e-03 5.38610e-01 6.86818e-01
2.83399e-03 6.38764e-01 8.26423e-01
2.83399e-03 7.46119e-01 9.49435e-01
2.83399e-03 8.60259e-01 1.05029e+00
2.83399e-03 9.80743e-01 1.12698e+00
2.83399e-03 1.10710e+00 1.18024e+00
2.83399e-03 1.23885e+00 1.21240e+00
2.83399e-03 1.37548e+00 1.22619e+00
2.83399e-03 1.51646e+00 1.22335e+00
2.83399e-03 1.66125e+00 1.20302e+00
2.83399e-03 1.80928e+00 1.16000e+00
2.83399e-03 1.95998e+00 1.08360e+00
2.83399e-03 2.11277e+00 9.59006e-01
2.83399e-03 2.26706e+00 7.74072e-01
2.83399e-03 2.42225e+00 5.33248e-01
2.83399e-03 2.57775e+00 2.72277e-01
2.83399e-03 2.73294e+00 5.43491e-02
2.83399e-03 2.88723e+00 -6.78631e-02
2.83399e-03 3.04002e+00 -9.57391e-02
2.83399e-03 3.19072e+00 -7.56119e-02
2.83399e-03 3.33875e+00 -4.83256e-02
2.83399e-03 3.48354e+00 -2.80339e-02
2.83399e-03 3.62452e+00 -1.52309e-02
2.83399e-03 3.76115e+00 -7.80652e-03
2.83399e-03 3.89290e+00 -3.79550e-03
2.83399e-03 4.01926e+00 -1.76287e-03
2.83399e-03 4.13974e+00 -7.89019e-04
2.83399e-03 4.25388e+00 -3.43819e-04
2.83399e-03 4.36124e+00 -1.47574e-04
2.83399e-03 4.46139e+00 -6.31974e-05
