# time[s], T9[GK], density[g/cm^3], Ye 
# 
2.064000000000000057e+00 9.282623593316374766e+00 1.649893339106914270e-02 8.343346788662415747e-01
2.178983117272616621e+00 9.034386249808715519e+00 1.521036411650771719e-02 8.343346788662415747e-01
2.300371814611962051e+00 8.792787307405253827e+00 1.402243230353168377e-02 8.343346788662415747e-01
2.428522939675018755e+00 8.557649240965748305e+00 1.292727815067418878e-02 8.343346788662415747e-01
2.563813219700160406e+00 8.328799272754473293e+00 1.191765570819043260e-02 8.343346788662415747e-01
2.706640368976259481e+00 8.106069245484407659e+00 1.098688493614231529e-02 8.343346788662415747e-01
2.857424258007652540e+00 7.889295498756487390e+00 1.012880750675417864e-02 8.343346788662415747e-01
3.016608147811970841e+00 7.678318748803129701e+00 9.337746058611389247e-03 8.343346788662415747e-01
3.184659992979313792e+00 7.472983971447691331e+00 8.608466633112474287e-03 8.343346788662415747e-01
3.362073817323378400e+00 7.273140288193833847e+00 7.936144044640153564e-03 8.343346788662415747e-01
3.549371166168576508e+00 7.078640855361101991e+00 7.316329955327422092e-03 8.343346788662415747e-01
3.747102639542415403e+00 6.889342756185258487e+00 6.744923443189404337e-03 8.343346788662415747e-01
3.955849510780321765e+00 6.705106895804090250e+00 6.218143868888707272e-03 8.343346788662415747e-01
4.176225435301094357e+00 6.525797899051521078e+00 5.732505861610634988e-03 8.343346788662415747e-01
4.408878254576342748e+00 6.351284010984916684e+00 5.284796258545430316e-03 8.343346788662415747e-01
4.654491900597000686e+00 6.181437000072532051e+00 4.872052845400617546e-03 8.343346788662415747e-01
4.913788406435562806e+00 6.016132063969897636e+00 4.491544757282563138e-03 8.343346788662415747e-01
5.187530028814439476e+00 5.855247737815981957e+00 4.140754410272336032e-03 8.343346788662415747e-01
5.476521488920250036e+00 5.698665804981691174e+00 3.817360844148247941e-03 8.343346788662415747e-01
5.781612338051315803e+00 5.546271210205151014e+00 3.519224366044401003e-03 8.343346788662415747e-01
6.103699455052751688e+00 5.397951975049945617e+00 3.244372393441891621e-03 8.343346788662415747e-01
6.443729682880820597e+00 5.253599115624178140e+00 2.990986402824615843e-03 8.343346788662415747e-01
6.802702612047355935e+00 5.113106562499892149e+00 2.757389897647071104e-03 8.343346788662415747e-01
7.181673519126703376e+00 4.976371082774048382e+00 2.542037316005802284e-03 8.343346788662415747e-01
7.581756468963619433e+00 4.843292204213722307e+00 2.343503804623378595e-03 8.343346788662415747e-01
8.004127589701631962e+00 4.713772141429852347e+00 2.160475791485869709e-03 8.343346788662415747e-01
8.450028530259602988e+00 4.587715724025242636e+00 1.991742294758777187e-03 8.343346788662415747e-01
8.920770110420354726e+00 4.465030326664056304e+00 1.836186910478005124e-03 8.343346788662415747e-01
9.417736174261692739e+00 4.345625801011385292e+00 1.692780426003402759e-03 8.343346788662415747e-01
9.942387658257667127e+00 4.229414409492923355e+00 1.560574010362760031e-03 8.343346788662415747e-01
1.049626688600924851e+01 4.116310760826021209e+00 1.438692936430969972e-03 8.343346788662415747e-01
1.108100210222953841e+01 4.006231747274812349e+00 1.326330793408015849e-03 8.343346788662415747e-01
1.169831225931227792e+01 3.899096483583240680e+00 1.222744151303298233e-03 8.343346788662415747e-01
1.235001207055461592e+01 3.794826247541174258e+00 1.127247642124591404e-03 8.343346788662415747e-01
1.303801734488931530e+01 3.693344422139890337e+00 1.039209425226895935e-03 8.343346788662415747e-01
1.376435061880879651e+01 3.594576439274467905e+00 9.580470068182691049e-04 8.343346788662415747e-01
1.453114710203743698e+01 3.498449724951676831e+00 8.832233859628863632e-04 8.343346788662415747e-01
1.534066095443046152e+01 3.404893645963146476e+00 8.142435015818799563e-04 8.343346788662415747e-01
1.619527191255194154e+01 3.313839457984590453e+00 7.506509569439542579e-04 8.343346788662415747e-01
1.709749228541185673e+01 3.225220255062988706e+00 6.920249999738094454e-04 8.343346788662415747e-01
1.804997433992793177e+01 3.138970920454571267e+00 6.379777393989341907e-04 8.343346788662415747e-01
1.905551809782311068e+01 3.055028078777517475e+00 5.881515783157808706e-04 8.343346788662415747e-01
2.011707956687953924e+01 2.973330049444185441e+00 5.422168481948167786e-04 8.343346788662415747e-01
2.123777943074634322e+01 2.893816801338664035e+00 4.998696276701503462e-04 8.343346788662415747e-01
2.242091222284685514e+01 2.816429908706352236e+00 4.608297316820332687e-04 8.343346788662415747e-01
2.366995601135394267e+01 2.741112508223133570e+00 4.248388576676389770e-04 8.343346788662415747e-01
2.498858262370433181e+01 2.667809257212625518e+00 3.916588765346388948e-04 8.343346788662415747e-01
2.638066844070911898e+01 2.596466292980784907e+00 3.610702571100056599e-04 8.343346788662415747e-01
2.785030579199209200e+01 2.527031193237991857e+00 3.328706136396107260e-04 8.343346788662415747e-01
2.940181498625509704e+01 2.459452937579531984e+00 3.068733667283294947e-04 8.343346788662415747e-01
3.103975701173589385e+01 2.393681869996176825e+00 2.829065088609358423e-04 8.343346788662415747e-01
3.276894694419421228e+01 2.329669662387313434e+00 2.608114663360068183e-04 8.343346788662415747e-01
3.459446810184169863e+01 2.267369279049804565e+00 2.404420500829654707e-04 8.343346788662415747e-01
3.652168698882708497e+01 2.206734942116499010e+00 2.216634884204779260e-04 8.343346788662415747e-01
3.855626907120601743e+01 2.147722097918986606e+00 2.043515353565700243e-04 8.343346788662415747e-01
4.070419543177242616e+01 2.090287384249891467e+00 1.883916485306454114e-04 8.343346788662415747e-01
4.297178035271185337e+01 2.034388598500636913e+00 1.736782313583590926e-04 8.343346788662415747e-01
4.536568987776464468e+01 1.979984666651274816e+00 1.601139343650946037e-04 8.343346788662415747e-01
4.789296140846628447e+01 1.927035613089595811e+00 1.476090110854063177e-04 8.343346788662415747e-01
5.056102439207219845e+01 1.875502531237343673e+00 1.360807242668165358e-04 8.343346788662415747e-01
5.337772216198365527e+01 1.825347554961944008e+00 1.254527984491875627e-04 8.343346788662415747e-01
5.635133499487923814e+01 1.776533830752744514e+00 1.156549152977304044e-04 8.343346788662415747e-01
5.949060445233308059e+01 1.729025490641326268e+00 1.066222483505852107e-04 8.343346788662415747e-01
6.280475907847721828e+01 1.682787625845982182e+00 9.829503410268772149e-05 8.343346788662415747e-01
6.630354152925190192e+01 1.637786261120998565e+00 9.061817658805275259e-05 8.343346788662415747e-01
6.999723721299595525e+01 1.593988329791891756e+00 8.354088284424310783e-05 8.343346788662415747e-01
7.389670452657207989e+01 1.551361649458256942e+00 7.701632684712039593e-05 8.343346788662415747e-01
7.801340677591257133e+01 1.509874898346377226e+00 7.100133969234474860e-05 8.343346788662415747e-01
8.235944587482296697e+01 1.469497592294209953e+00 6.545612397374697678e-05 8.343346788662415747e-01
8.694759792110805563e+01 1.430200062351849155e+00 6.034399046879511744e-05 8.343346788662415747e-01
9.179135075460376925e+01 1.391953432980995498e+00 5.563111538896679700e-05 8.343346788662415747e-01
9.690494360752457226e+01 1.354729600837423220e+00 5.128631658890574267e-05 8.343346788662415747e-01
1.023034089636874739e+02 1.318501214120847864e+00 4.728084725367792950e-05 8.343346788662415747e-01
1.080026167496662026e+02 1.283241652477020489e+00 4.358820569908507443e-05 8.343346788662415747e-01
1.140193209877845391e+02 1.248925007437289292e+00 4.018396002660380468e-05 8.343346788662415747e-01
1.203712090480959489e+02 1.215526063381241695e+00 3.704558647280090767e-05 8.343346788662415747e-01
1.270769536441346048e+02 1.183020279008455189e+00 3.415232038368517245e-05 8.343346788662415747e-01
1.341562677252927074e+02 1.151383769305724725e+00 3.148501882798486712e-05 8.343346788662415747e-01
1.416299624271889286e+02 1.120593287996531240e+00 2.902603394035026198e-05 8.343346788662415747e-01
1.495200082503875763e+02 1.090626210459845646e+00 2.675909615647151718e-05 8.343346788662415747e-01
1.578495996473143350e+02 1.061460517105726531e+00 2.466920656755249911e-05 8.343346788662415747e-01
1.666432232072380941e+02 1.033074777195480465e+00 2.274253768191629752e-05 8.343346788662415747e-01
1.759267296397596851e+02 1.005448133094515528e+00 2.096634193714557224e-05 8.343346788662415747e-01
1.857274097684208698e+02 9.785602849463012065e-01 1.932886735743856633e-05 8.343346788662415747e-01
1.960740747578305445e+02 9.523914757561848798e-01 1.781927979813909509e-05 8.343346788662415747e-01
2.069971408101557984e+02 9.269224768740931264e-01 1.642759126298057269e-05 8.343346788662415747e-01
2.185287185799575411e+02 9.021345738654606983e-01 1.514459381976468985e-05 8.343346788662415747e-01
2.307027075702258401e+02 8.780095527600032534e-01 1.396179867723596904e-05 8.343346788662415747e-01
2.435548957871140772e+02 8.545296866682204895e-01 1.287138002006162002e-05 8.343346788662415747e-01
2.571230649463241207e+02 8.316777227558106445e-01 1.186612323030859652e-05 8.343346788662415747e-01
2.714471015404218406e+02 8.094368695664113655e-01 1.093937715283113155e-05 8.343346788662415747e-01
2.865691140935878138e+02 7.877907846833619443e-01 1.008501008873911011e-05 8.343346788662415747e-01
3.025335569484970506e+02 7.667235627214138427e-01 9.297369225783356166e-06 8.343346788662415747e-01
3.193873609492289916e+02 7.462197236395693434e-01 8.571243237234163340e-06 8.343346788662415747e-01
3.371800714043730522e+02 7.262642013664605267e-01 7.901827801793285147e-06 8.343346788662415747e-01
3.559639937359031023e+02 7.068423327299114822e-01 7.284693816406232253e-06 8.343346788662415747e-01
3.757943472419903514e+02 6.879398466825437097e-01 6.715758091658732284e-06 8.343346788662415747e-01
3.967294274257655502e+02 6.695428538155163700e-01 6.191256335867477801e-06 8.343346788662415747e-01
4.188307773672357825e+02 6.516378361526897756e-01 5.707718249117519919e-06 8.343346788662415747e-01
4.421633686421382663e+02 6.342116372177145633e-01 5.261944562459229969e-06 8.343346788662415747e-01
4.667957923195772310e+02 6.172514523667502750e-01 4.850985870347610043e-06 8.343346788662415747e-01
4.928004605999287833e+02 6.007448193797043645e-01 4.472123116271331255e-06 8.343346788662415747e-01
5.202538196857630055e+02 5.846796093030851571e-01 4.122849602457246895e-06 8.343346788662415747e-01
5.492365745115646405e+02 5.690440175377360355e-01 3.800854404619800780e-06 8.343346788662415747e-01
5.798339259928985712e+02 5.538265551648997587e-01 3.504007082021016897e-06 8.343346788662415747e-01
6.121358214924541699e+02 5.390160405042471181e-01 3.230343581677294559e-06 8.343346788662415747e-01
6.462372192392739407e+02 5.246015908976583431e-01 2.978053243449780662e-06 8.343346788662415747e-01
6.822383674784795176e+02 5.105726147127257475e-01 2.745466820039244451e-06 8.343346788662415747e-01
7.202450991721112814e+02 4.969188035601003750e-01 2.531045432621231800e-06 8.343346788662415747e-01
7.603691431174280524e+02 4.836301247189611074e-01 2.333370389047799787e-06 8.343346788662415747e-01
8.027284523972494981e+02 4.706968137650454076e-01 2.151133797249325553e-06 8.343346788662415747e-01
8.474475511278980093e+02 4.581093673958224199e-01 1.983129911731093505e-06 8.343346788662415747e-01
8.946579005240852212e+02 4.458585364475339263e-01 1.828247155909821361e-06 8.343346788662415747e-01
9.444982853568533301e+02 4.339353190989775344e-01 1.685460767506986365e-06 8.343346788662415747e-01
9.971152219406575341e+02 4.223309542570337638e-01 1.553826018338059736e-06 8.343346788662415747e-01
1.052663388848949808e+03 4.110369151190784165e-01 1.432471963637264697e-06 8.343346788662415747e-01
