# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     2.47132254945189E+018     1.18954555108085E+018    -4.38430589689376E+012     0.00000000000000E+000     7.09638107559353E+016     2.59289481621486E+017     0.00000000000000E+000
  1.00000000000000E-012     6.80130256188905E+013    -1.19589293048601E+016     6.20986879706883E-003     5.04534221483292E+007     1.10324657392242E+014     3.91774963133476E+003     9.74304181797783E-006     1.43639712206511E-015     7.80619039186853E-010     0.00000000000000E+000
  2.00000000000000E-012     6.80131476554561E+013    -1.19589520553608E+016     1.24197241756313E-002     1.00906735275097E+008     1.10324657392697E+014     3.91774963959478E+003     3.89721251656509E-005     5.74558228061976E-015     1.56123807841947E-009     0.00000000000000E+000
  3.00000000000000E-012     6.80133103705250E+013    -1.19589547322926E+016     1.86295616628907E-002     1.51359903040098E+008     1.10324657393152E+014     3.91774964785481E+003     8.76871658306806E-005     1.29275430604094E-014     2.34185711771309E-009     0.00000000000000E+000
  1.30000000000000E-011     1.46069395214654E+014    -1.90642826933856E+015     8.07258343769552E-002     6.55874501247813E+008     1.10324657397698E+014     3.91774973045505E+003     1.64652389213198E-003     2.42743716414708E-013     1.01480475178185E-008     0.00000000000000E+000
  2.30000000000000E-011     1.46070615509114E+014    -1.90631663755923E+015     1.42820765318671E-001     1.16037819793546E+009     1.10324657402244E+014     3.91774981305529E+003     5.15384477372405E-003     7.59821002403216E-013     1.79542379224999E-008     0.00000000000000E+000
  3.30000000000000E-011     1.46067948309024E+014    -1.90675979101273E+015     2.04913907269247E-001     1.66486735957710E+009     1.10324657406791E+014     3.91774989565554E+003     1.06095634998106E-002     1.56414667640004E-012     2.57604283332827E-008     0.00000000000000E+000
  1.33000000000000E-010     1.61673417001948E+014     1.02371160887938E+014     8.25635189877420E-001     6.70805167325409E+009     1.10324657452255E+014     3.91775072165801E+003     1.72286789429546E-001     2.53998959607633E-011     1.03822333158023E-007     0.00000000000000E+000
  2.33000000000000E-010     1.61665859398806E+014     1.00939762663997E+014     1.44622237350135E+000     1.17501464706882E+010     1.10324657497721E+014     3.91775154766050E+003     5.28692487027841E-001     7.79440734281187E-011     1.81884238440366E-007     0.00000000000000E+000
  3.33000000000000E-010     1.61655492800079E+014     9.90107549244023E+013     2.06663079710731E+000     1.67907888936374E+010     1.10324657543187E+014     3.91775237366302E+003     1.07974020361881E+000     1.59183933535557E-010     2.59946144332847E-007     0.00000000000000E+000
  1.33300000000000E-009     1.62316731495137E+014     1.77392880837054E+014     8.24978003625201E+000     6.70271222062436E+010     1.10324657997958E+014     3.91776063369164E+003     1.72537960238547E+001     2.54369255803957E-009     1.04056527494962E-006     0.00000000000000E+000
  2.33300000000000E-009     1.62240661643713E+014     1.63296230907654E+014     1.44195972861776E+001     1.17155136884773E+011     1.10324658452798E+014     3.91776889372242E+003     5.27812912571895E+001     7.78143995754686E-009     1.82118445132742E-006     0.00000000000000E+000
  3.33300000000000E-009     1.62139387594211E+014     1.44552442549933E+014     2.05716768792116E+001     1.67139038127968E+011     1.10324658907731E+014     3.91777715375610E+003     1.07576434955871E+002     1.58597781463841E-008     2.60180368872026E-006     0.00000000000000E+000
