# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     2.47132254945189E+018     1.18954555108085E+018    -4.38430589689376E+012     0.00000000000000E+000     7.09638107559353E+016     2.59289481621486E+017     0.00000000000000E+000
  1.00000000000000E-012     1.60499357606190E+016    -3.19888581967411E+016     9.22238489736657E-001     7.11115325118991E+009     8.87903112402225E+015     4.67639161859890E+007     1.34884381000765E-001     2.70315794857222E-009     3.13578336170030E-001     0.00000000000000E+000
  2.00000000000000E-012     1.60499100945310E+016    -3.20070778145623E+016     1.84447509494884E+000     1.42222919712764E+010     8.87903113137642E+015     4.67639422643517E+007     5.39536972690054E-001     1.08126207371666E-008     6.27156677663991E-001     0.00000000000000E+000
  3.00000000000000E-012     1.60498472448720E+016    -3.20249014974983E+016     2.76670918746686E+000     2.13334113165981E+010     8.87903113873060E+015     4.67639683427141E+007     1.21395667244412E+000     2.43283662515838E-008     9.40735026256528E-001     0.00000000000000E+000
  1.30000000000000E-011     1.64401354014313E+016     1.81994128299212E+016     1.19887548803592E+001     9.24423283064647E+010     8.87903121227243E+015     4.67642291263042E+007     2.27948034266925E+001     4.56820517283589E-007     4.07651934626444E+000     0.00000000000000E+000
  2.30000000000000E-011     1.64400290289081E+016     1.81681428965862E+016     2.12106121312378E+001     1.63549792266444E+011     8.87903128581434E+015     4.67644899098729E+007     7.13509000718861E+001     1.42991164080632E-006     7.21230419866538E+000     0.00000000000000E+000
  3.30000000000000E-011     1.64398900570067E+016     1.81349932216633E+016     3.04322181312505E+001     2.34655318892970E+011     8.87903135935634E+015     4.67647506934130E+007     1.46881116503813E+002     2.94357907147355E-006     1.03480897609237E+001     0.00000000000000E+000
  1.33000000000000E-010     1.64226050934891E+016     1.57872421110542E+016     1.22618765426356E+002     9.45483019969436E+011     8.87903209478747E+015     4.67673585254587E+007     2.38521199404373E+003     4.78009621004325E-005     4.17060287916707E+001     0.00000000000000E+000
  2.33000000000000E-010     1.64215421372524E+016     1.55793899834740E+016     2.14786478949878E+002     1.65616549847873E+012     8.87903283022569E+015     4.67699663553625E+007     7.31949735156088E+003     1.46686744283239E-004     7.30640210616284E+001     0.00000000000000E+000
  3.33000000000000E-010     1.64279333897762E+016     1.63158313750537E+016     3.06929085926585E+002     2.36665438659829E+012     8.87903356567337E+015     4.67725741824104E+007     1.49486051814151E+004     2.99578222104386E-004     1.04422084317155E+002     0.00000000000000E+000
  5.85881203447118E-010     1.64345680693117E+016     1.68934856188936E+016     5.39728229062091E+002     4.16171109036356E+012     8.87903542556223E+015     4.67791688626756E+007     4.62490764859297E+004     9.26856407773828E-004     1.83721332496555E+002     0.00000000000000E+000
  8.38762406894235E-010     1.64349728823849E+016     1.67879991273033E+016     7.72407137611524E+002     5.95584069489248E+012     8.87903728549637E+015     4.67857635292435E+007     9.47553161307272E+004     1.89894704835528E-003     2.63020921133020E+002     0.00000000000000E+000
  1.09164361034135E-009     1.64375728646187E+016     1.69171519903226E+016     1.00492581647248E+003     7.74873480781565E+012     8.87903914549084E+015     4.67923581775481E+007     1.60447595356491E+005     3.21545446465973E-003     3.42320963711481E+002     0.00000000000000E+000
  1.39734901791187E-009     1.64347556599973E+016     1.62338803490033E+016     1.28578250657506E+003     9.91435138843278E+012     8.87904139410606E+015     4.68003303514730E+007     2.62779037715784E+005     5.26622878118146E-003     4.38186604673976E+002     0.00000000000000E+000
